Text,Label
GSTR1 Table5 VchDrilldown Vouchers of : B2B Invoices For : Taxable Sales GSTINUIN Vch Type Vch No Taxable Central Tax Value Amount State Tax | Total Tax | | Amount Amount Date Particulars Grand Total ,Junk
TAX INVOICE Invoice No . Invoice Dt : Month Vendor Code Service Resource Name Location Period of performance Rate BASE DAY ,Invoice
"From : Sent : To : Cc : Subject : Attachments : Approved Dear Sir Thanks & Regards : : DISCLAIMER : : < Prabhat . Singh @ hcl . com > < Prabhat . Singh @ hcl . com > Emp A , SUMMARY Rakesh.xlsx Emp id - A - Emp code - A - ",Email
PURCHASE ORDER PO NO PO Date Version Date PO Currency Purch . Org PO Validity Bill to Address Ship to Address Vendor Vendor Code : GST _ STATUS GSTIN TINNVATATRN : PAN : Item Item Code Description Item Item Code Description Unit Unit Price Total Price Qty ,Purchase
Other T & C ' s : Other Details : Payment Terms : Terms of payment : ,Junk
TRRN Details TRRN No : Challan Status : Challan Generated On : Establishment ID : Establishment Name : Challan Type : Total Members : Wage Month : Total Amount ( Rs ) : Account - 1 Amount ( Rs ) : Account - 2 Amount ( Rs ) : Account - 10 Amount ( Rs ) : Account - 21 Amount ( Rs ) : Account - 22 Amount ( Rs ) : Payment Confirmation Bank : CRN : Presentation Date : Realization Date : Date of Credit : ,ChallanDep
Challan Double Verification Employer ' s Code No . : Transaction Details Transaction status : Employer ' s Code No : Employer ' s Name : Challan Period : Challan Number : Challan Created Date Challan Submitted Date Amount Paid : Transaction Number : ,ChallanDep
TAX INVOICE Invoice No : Date : DESCRIPTION UNIT PRICE PRICE GSTIN : State Code : State Of Supply : Reference : Subscription Period : BANK DETAIL : A / c Name : Bank Name : IFSC Code : MICR Code : SAC ( Service Account Code ) : ,Invoice
GSTIN : Tax Invoice Invoice No . Invoice date For the Month Reverse Charge Bill To Ship TO Name  Address : Product Description code UOM Qty Rate Amount Value CGST SGST Rate Amount Rate  Amount Total Total Invoice amount in words : Total Amount before Tax Add : CGST @ 9 . 00 % Add : SGST @ 9 . 00 % Total Tax Amount Total Amount after Tax : GST on Reverse Charge Authorised signatory Bank Name : Bank A / C : Bank IFSC : Bank Details ,Invoice
Challan Double Verification Employer ' s Code No . : Contribution Online Challan Status Transaction Details Transaction status : Employer ' s Code No : Employer ' s Name : Challan Period : Challan Number : Challan Created Date Challan Submitted Date Amount Paid : Transaction Number : ,ChallanDep
" Checklist - Overheads Bill Process . Region.Vendor Sap Code / Name : Purchase order number . . . . . . Respective BUS / Enabling functions have submitted the original Bills . Approval on bill has been given by Cost Center Manager / Original bill has been received from the user along with Approvals and Challan / Receipt , proof attached . Documents / Bill has been verified as per contract lagreement / PO - Agreement / Contract has been attached in Vendor Master for including copy PAN , Service TAX TDS applicability has been checked Security & House Keeping Expense and also attached the copy of the challan ( If applicable ) Verifled Byl Signature ( Store / Admin ) Verified By Functional Head Verified by RAO Signature : ",Checklist
Invoice No . Dated Supplier ' s Ref . Other Reference ( s ) Description of Goods Amount SI Marks & Nos . / No . & Kind ! . & Kind ! of Pkgs . SGST CGST ! HSN / SAC State Tax Value _ Rate Amount Rate Amount Company ' s Bank Details Bank Name  AVC No . : Branch & IFS Code : Company ' s PAN ,Invoice
SECURITY GUARDS BILL - Bill No . Date : S.NO PARTICULARS QTY RATE AMOUNT Salary Total Allowances Holiday ED  Total Total Salary + Allces + OT ESI on Salary + Allces  ,SGB
DETAILS OF MUSTER ROLL - HCL FOR THE MIO AUG.  Bishan Singh - Balak Singh | Vikram Singh Karki Gopal Singh Bora Surendra Singh Deopa Bir Bahadur Devi TOTAL NANE OF EMPLOYEE Deg . PF No | SALARY RATE Earning Salary. Total Nos of days worked Amount Due Actual Paid Adv Fine For PF For ESIC ,Junk
EMPLOYEES ' PROVIDENT FUND ORGANISATION TRRN : Establishment Code & Name : Total Subscribers : Total Wages : EPF EPS EDLI SL . PARTICULARS Administration Charges Employer ' s Share Of Contribution Employee ' s Share Of Contribution - - - - - - - - - - FOR BANKS USE ONLY Amount Received Rs . Dale of presentation of Cheque / DD Date of Realisation of Cheque / DD SBI Branch Name SBI Branch Code FOR ESTABLISHMENT USE ONLY Cheque / DD NO - - - - - - - - - - - - - - Cheque / DD drawn bank & Name of the Depositer - - - - - - - - - - - - - Date of Deposit Signature of the ,Epfslip
Challan for deposit of goods or services tax CPIN : Challan Generated on : Expiry Date : Details of Taxpayer GSTIN Mobile No . Government Major Head w w w Minor Head . . . . . . . . . . . . . . Lovemittat of India CGST ( IGST ( CESS Details of Deposit ( All Ainount in Rs . ) Mode of Payinent Over the Counter ( OTC ) E Payment oooh Particulars of ( lepouitor - - - - - . Naine Designation / Signalille Date - Paid Challan Julontation GSTIN Taxpayer Name Name of the Bank Amount Bank Reference No . ( BRN ) / UTR CIN _ _ _ Payinent Date : Bank Ack No ,ChallanDep
PURCHASE ORDER PO NO PO Dale Version # 1 Date PO Currency Purch . Org PO Validity Bill to Address Ship to Address Details Vendor GST _ STATUS GSTIN TINNAT : PAN : LSTICST : ECC : Item Item Code Description Unit Unit Price Total Price Central GST State GST Net Value : Security Guard - Security Supervisor - Security Supervisor - ,Purchase
"- Region . . Vendor Sap Code / Name : Purchase order number Respective BUS / Enabling functions have submitted the original Bills . Approval on bill has been given by Cost Center Manager / Project Head via . - . . wewe Original bill has been received from the user along with necessary | Approvals and Challan / Receipt , proof attached . Documents / Bill has been verified as per contract lagreement / PO Agreement / Contract has been attached in Vendor Master for verification including copy PAN , Service TAX . . . . . Freight is Finished goods / Spares / Documents . verified as per ci iactairement by the Store in charge / Admin , Also verified trif ; "" eigr : measurements for finished goods ( as per SAP SDC ) / spares . TDS - applicat : ley . nasieen Chacked with its percentage . . . . . . . . . . . . Security & House Keeping Expense - Bill verified as per contract / Agreement and also attached the copy of the previous month ESI , PF and P . Tax challan ( If applicable ) Verified by RAO Vor ficu Ry : nctiddal Head Emp . Code Mobile No : Name : Signature : Name : Emp . Code : 1 ",Checklist
"Tax Invoice Invoice No . Dated Supplier ' s Ref . Description of Goods Amount "" Si Marks & Nos . / TNo . & Kind HSN / SAC State Tax Total Central Tax Company ' s Bank Details Bank Name Alc No . Branch & IFS Code Company ' s PAN ",Invoice
SECURITY GUARDS BILL - Bill No . Date : S . NO PARTICULARS RATE AMOUNT QTY Salary Allowances Bonus Total Salary + Allces + OT Service Charge ESI on Salary + Allces . . . . . Total ,SGB
"DETAILS OF MUSTER ROLL S . No NAME OF EMPLOYEE Deg . PF NO SALARY RATE Rate Spl Allce Total Basic + DA & Uniform Wages Nos of days worked Eaming Salary Bishan Singh Balak Singh Vikram Singh Karki , Gopal Singh Bora S Surendra Singli Deopa Bir Bahadur S Manju Devi Sr . Guard ( Head ) 469 Sr . Guard Sr . Guard S / Go . s / Gd . S / Gd . 974 UGO 1 1382 Actual Signature or Thumb Wage Paid Impression of the Employee ",Junk
PAYMINTPAYMENT RECEIPT Deposit Date : Deposi : Titic . Payment Particulars BAN : - - Details of Deposit . m Government of India Government Major Head Minor Head - Tax NEN Fee Others Total : Total Amount ( in words ) Mode of Payment :,Transdetails
EMPLOYEES ' PROVIDENT FUND ORGANISATION TRRN Total Subscribers : Total Wages : EPF EPS EDLI Establishment Code & Name : Address : PARTICULARS . Employer ' s Share Of Contribution Employee ' s Share Of Contribution Administration Charges ( Only FOR BANKS USE ONLY Amount Received Rs . Date of presentation of Cheque / DD Date of Realisation of Cheque / DD SBI Branch Name SBI Branch Code . Cheque / DD NO . Cheque / DD drawn bank & Name of the Depositer - - - - - - - - - Date of Deposit - - - - - - Signature,Epfslip
Employor ' s Code No . : Transaction Details Transaction Stati . si Employer ' s Com N ) : Employer ' s Name : Challan Period : Challan Number : Challan Created Date Challan Slibmittcu Date Antoun Prici : Transiciu . Nutnie ChallanDouble Verlication ,ChallanDep
TAX INVOICE Reference : INVOICE No : Date : PO No . Date : 2010 MARTA amulang Output CGST Output SGST yearly Empxtrack license subscription for modules : GSTIN : ,Invoice
"From : Sent : To : Cc : Subject : Attachments : Prabhat Singh < Prabhat . Singh @ hcl . com > Tuesday , January idctimesheets @ idctechnologies . com RE : Attendance Dec & Jan - 19 Emp A - 12509 Attendance Jan , SUMMARY Jan  Ramesh . xlsx Approved Regards From : Ramesh Kumar ( mailto : rameshku3010 @ gmail . com ) Sent : Monday , January To : Prabhat . Singh @ hcl . com Cc : idctimesheets idctechnologies . com Subject : Attendance Emp A - 12509 Dear sir Please check and approve my attendance sheet month Thanks & Regards ",Email
"Checklist - Overheads Bill Process Region : Vendor Sap Code / Name  BILLS MONTH QE : BILL NO : DATED : AMOUNT : . PROFIT CENTRE . Description Remarks Purchase order Respective BUs / Enabling functions have submitted the original Bills . Approval on bill has been given by Cost Center Manager / Project Head Original bill has been received from the user along with necessary Approvals and Challan / Receipt , proof attached . | Documents / Bill has been verified as per contract / agreement / PO Agreement / Contract has been attached in Vendor Master for verification including copy PAN , Service TAX Freight i . e . Finished goods / Spares / Documents , verified as per contract / Agreement by the Store in charge / Admin . Also verified the weight measurements for finished goods ( as per SAP SDC ) / spares . | TDS applicability has been checked with its percentage . . . . . . . . . . . . . . Verified By Functional Head Verified by RAO Signature : Name : Emp . Code : Name : ",Checklist
TAX INVOICE GSTIN PAN BANK A / C No . Invoice No . Date of Invoice Shipped to : Billed to : Party PAN State GSTIN / UIN : : S . N . Description of Goods HSN / SAC Code Qty . Unit Price CGST Rate CGST Amount SGST Rate SGSTIGST Amount Rate IGST Amount Amount ( * )  ,Invoice
Tax Invoice Invoice No . Dated Delivery Supplier ' s Ref . Buyer's Order No . GSTIN / UIN Description of Goods HSN / SAC Quantity Rate per Amount Amount Chargeable Taxable Value Integrated Tax Total Tax Amount Rate ,Invoice
"PURCHASE ORDER PO NO PO Date Version # 1 Date PO Currency Purch . Org PO Validity Bill to Address Ship to Address Vendor Details Vendor Code : GST _ STATUS GSTIN TINNAT : PAN : LSTICST : ECC : Dear Sir / Madam , Please supply the following material / service as per spec mentioned below Item Item Code Description Qty Unit Unit Price Total Price Total PO Value ( in words ) : ",Purchase
"Checklist - Overheads Bill Process BILLS MONTH OF Purchase order number . 1 . 000 . H3020 Respective BUs / Enabling functions have submitted the original Bills . Approval on bill has been given by Cost Center Manager / Project Head Original bill has been received from the user along with necessary Approvals and Challan / Receipt , proof attached . Documents / Bill has been verified as per contract lagreement / PO Agreement / Contract has been attached in Vendor Master for verification including copy PAN , Service TAX Freight i . e . Finished goods / Spares / Documents , verified as per contract / Agreement by the Store in chargel Admin . Also verified the weight measurements for finished goods ( as per SAP SDC ) / spares . TD $ applicability has been checked with its percentage . . . . . . . . . . . . . . . . Security & House Keeping Expense - Bill verified as per contractAgreement and also attached the copy of the previous month ESI , PF and P . Tax challan ( If applicable ) Verified By Functional Head Verified by RAO Signature : Name : Emp . Coda . ",Checklist
"Tax Invoice "" Invoice No . Dated Description of Goods HSNSAC GST ? Amount Rate ! SALARY AND ALL OTHER CHARGES ( SECURITY SERVICES ) Amount Chargeable ( in words ) Central Tax State Tax Total Company ' s PAN ",Invoice
SECURITY GUARDS BILL Bill No . PARTICULARS RATE AMOUNT QTY Salary Allowances Total Total Salary + Allces Date : Bonus ,SGB
"DETAILS OF MUSTER ROLL - HCL FOR THE MIO NOV. NAME OF EMPLOYEE Deg . PF No SALARY RATE Earning Salary Fine Adv Total Nos of days worked For PF For ESIC . 75 % Actual Wage Total Ince - ntive Bonus Rate Spl Allco Total Basic + DA & Uniform Wages Wages ED Holiday ( Single ) Amount Due Sal . @ 7000 / PM Bishan Singh Sr . Guard ( Head ) Balak Singh Sr . Guard Vikram Singh Karki Sr . Guard Gopal Singh Bora SIGd . Surendra Singh Deopa , sid . Bir Bahadur S / Go . Manju Devi UGD . TOTAL ",Junk
EMPLOYEES ' PROVIDENT FUND ORGANISATION TRRN : Establishment Code & Name : Dues for the wage Address : Total Wages : Total Subscribers : EPF EPS EDLI PARTICULARS Administration Charges Employer ' s Share Of Contribution Employee ' s Share Of Contribution FOR BANKS USE ONLY Amount Received Rs . Date of presentation of Cheque / DD Date of Realisation of Cheque / DD SBI Branch Name 33i Branch Code Date . Cheque / DD No . Cheque / DD drawn bank & Name of the Depositer Date of Deposit - Mobile No . - - - - Signature of the ,Epfslip
. . ChallanDoubleVerification SER Transaction Detalls Transaction status : Employer ' s Code No : Employer ' s Name : Challan Period : Challan Number : Challan Created Date Challan Submitted Date Amount Paid : Transaction Number : Employer's Code No . : ,ChallanDep
"PURCHASE ORDER PO NO PO Date Version # 1 Date PO Currency Purch . Org PO Validity Fax : Dear Sir / Madam , Please supply the following material / service as per spec mentioned below Item Item Code Description Qty Unit Unit Price Purchase of A4 Paper for UIDAI E - 4 Sec - 11 Noida Delivery Terms : Goods to be delivered by Vendor within 2 - 3 days of receipt of Purchase order from HCL , Goods should be supplied as per the Brand and quality approved by HCL , else would be rejected . Invoicing Terms : Vendor should submit invoice along with goods at the time of delivery of goods . Details : Payment Terms : Payment shall be remitted by HCL after 30 days from the date of receipt of goods . HCL shall provide goods receipt note to vendor , a copy of which should be attached to invoice at the time of submission . Invoice submitted without Goods receipt note shall be rejected .",Purchase
PAYMENT RECEIPT Deposit Date : Deposit Time : Payment Particulars Minor Head Government Major Head Government of India Tax Interest Penalty Fee Others • Total Mode of Payment : Internet Banking - Total Amount Total Amount ( in words ) Details of Deposit Details of Taxpayer ,Transdetails
 Invoice Number INVOICE DATE PAYMENT TERMS AGREEMENT NO . PAYMENT TERMS DESCRIPTION HSN SAC VOM QTY UNIT PRICE TOTAL DISC TAXABLE VALUE TAX TYPE TAX RATE AMOUNT IGST SUBTOTAL ,Invoice
"From : Sent : To : Cc : Prabhat Singh < Prabhat . Singh @ hcl . com > Tuesday , January Saraswati Rastogi idctimesheets @ idctechnologies . com RE : Attendance DECEMBER 2018 Emp.Code - A - summary december 18 . xlsx attendance december 18 . xlsx Subject : Attachments : Approved Regards From : Saraswati Rastogi ( mailto : saraswatirastogi1234 @ gmail . com ) Sent : Monday , January To : Prabhat Singh ; idctimesheets @ idctechnologies . com Subject : Attendance DECEMBER 2018 Emp . Code - A - 13053 Dear Sir , Kindly check and approve my DECEMBER 2018 time sheet and summary sheet . ",Email
Tax Invoice Invoice No . Dated Delivery Note Supplier ' s Ref . Buyer ' s Order No . Despatch Document No . Despatched through GSTIN / UIN PAN / IT NO State Name Description of Goods HSN /  SAC Quantity Rate Amount Amount Chargeable Tax Amount ( in words ) : Taxable Value Central Tax State Tax Total Tax Amount Rate Amount Authorised Signatory Company' s PAN  Declaration ,Invoice
"Checklist - Overheads Bill Process Description . BILL NO . BILLS MONTH OF . Description Remarks Purchase order number . . . . . . . . . . . . . NO . . Respective BUS / Enabling functions have submitted the original Bills . Approval on bill has been given by Cost Center Manager / Project Head Original bill has been received from the user along with Approvals and Challan / Receipt , proof attached . Documents / Bill has been verified as per contract lagreement / PO Agreement / Contract has been attached in Vendor Master for including copy PAN , Service TAX Freight i . e . Finished goods / Spares / Documents , verified as contract / Agreement by the Store in chargel Admin . Also verified the measurements for finished goods ( as per SAP SDC ) / spares . TDS applicability Security & House Keeping Expense - Verified By / Signature ( Store / Admin ) . Verified By futetianas Head Verified by RAO · Signature Name : Emp . Code - ",Checklist
Tax Invoice Invoice No . Dated PAN / IT No State Name Place of Supply GSTIN / UIN : Description of Goods HSN / SAC Amount GST Rate HSN / SAC Taxable Value Central Tax Rate Amount State Tax Rate Amount Total Tax Amount Company ' s Bank Details Bank Name : A / C No . : Branch & IFS Code : ,Invoice
"HSN / SAC Cord BILL NO . Date : . PARTICULARS Salary QTY RATE AMOUNT Manpower Bill Maintenance , Gardener House Keeping Total Allowances Total Salart + Allces + OT ESI on Salary + Allces . . . . Service Charge ",SGB
EMPLOYEES ' PROVIDENT FUND ORGANISATION TRRN : Dues for the wage EDLI EPS EPF Total Subscribers : Total Wages : PARTICULARS Administration Charges Employer ' s Share Of Contribution Employee ' s Share Of Contribution FOR BANKS USE ONLY Amount Received Rs . - - Date of presentation of Cheque / DD Date of Realisation of Cheque / DD SBI Branch Name SBI Branch Code FOR ESTABLISHMENT USE ONLY Cheque / DD No . Cheque / DD drawn bank & Name of the Depositer - - - - - Date of Deposit - - - Signature of the ,Epfslip
Reference ID Debit Account Transaction Tag Frequency Type Transaction Date Payee Name Amount Requested By Requested Date Transaction Remarks Additional Remarks Credit Account MERCHANT PAYMENT ,Transdetails
Challan for deposit of goods and services tax Challan Generated on CPIN : GSTIN Details of Taxpayer Mobile No . Details of Deposit Government Major Head Minor Head Tax Interest Penalty Fee Others Total Government of India CGST IGST  CESS Total Amount Mode of Payment O E - Payment O Over the Counter ( OTC ) NEFT / RTGS Beneficiary Name Beneficiary Account Name of beneficiary bank Particulars of depositor Name Designation / Status Signature Date Paid Challan Information GSTIN Taxpayer Name Name of the Bank Amount Bank Reference No. CIN ,ChallanDep
"Checklist - Overheads Bill Process Vendor Name  Description Amount SAP Code :Purchase order number . Respective BUs / Enabling functions have submitted the original Bills . Approval on bill has been given by Cost Center Manager / Project Head Original bill has been received from the user along with necessary Approvals and proofs are attached . Agreement / Contract has been attached in Vendor Master for verification including copy PAN , Service TAX Any special cost ( exception freight rate / new freight route / excess manpower / additional space / staff welfare / Sunday working / Late Night Working etc . ) , which is not present in the ongoing contract has been approved in writing by Head of Logistics , Mail attached . Freight i . e . Finished goods / Spares / Documents , Bill rates verified as per contract / Agreement by the Ware house / Store In charge / Admin . Also verified the weight measurements for finished goods ( as per SAP SDC ) / spares . TDS applicability has been checked with its percentage . . . . . . . . . . . . . Bills have been verified by the warehouse for complete documentation ( PODs / original challan receipts ). We certified that all above points have been verified and cleared the bills as per contract Bill Summary ",Checklist
Invoice Invoice No : Invoice Date : Particulars Amount in INR CGST SGST IGST Total Amount Company ' s Bank Details Bank Name Account No IFSC Code Receiver ' s Signature / Stamp ,Invoice
"Checklist - Overheads Bill Process Vendor Sap Code / Name : BILL NO . . AMOUNT . COST CENTRE . BILLS MONTH Description Remarks Tick Purchase order number : Bus / Enabling functions have submitted the original Bills . Approval on bill has been given by Cost Center Manager / Project Head Documents / Bili has been verified as per contract lagreement / PO Approvals and Challan from the user along with Receipt , proof attached . Freight i . e . Finished goods / Spares / Documents , verified as per contract / Agreement by the Store in chargel Admin . Also verified the weight measurements for finished goods ( as per SAP SDC ) / spares . TDS applicability has been checked with its percentage . . Security & House Keeping Expense - Bill verified as per contract / Agreement and also attached the copy of the previous month ESI , PF and P . Tax challan Verified By Signature Admin Verified By Functional Head Verified by RAO Name : Emp . Code : Signature : ",Checklist
Tax Invoice No Dated . Details of Receiver ( Billed to ) Name Address State GSTIN No . State Code Ph . No . E . Mail Details of Consignee to Name Address State State Code GSTIN / Unique ID Name of Service Amount Name of Service IGST IGST Amount S . No . ( Rs . ) CGST COST SGST SGST Totat 2 Towards pest control charges 3012 . 80 N / A N / A 18 % 542 . 30 3558 . 10 for the month of Nov 2018 Total Amount in Words : Authorized Signatory ,Invoice
GSTIN : State Code : Tax Invoice Date : State Code : GSTIN : Place of Supply : Billed To Address : Service Provider Address : Article Code SAC Code Base Value Article Description Total Tax Total Base Value Tax Summary CGST SGSTI UTGST Cess % Cess Lump sum Amount Sr No SAC Code Base Value Rate % Amount Rate % Amount Rate % Amount Tax Amount Total Tax Amount Total Invoice Value Authorized Signatory,Invoice
GSTIN : Tax Invoice Invoice No . Invoice date For the Month Reverse Charge ( Y / N ) Bill To Ship GSTIN Product Description : Qty Rater CGST SGSTRate Amount Total ES Total Amount before Tax Add : CGST Add : SGST  Total Tax Amount Total Amount after Tax : GST on Reverse charges Rupees : Authorised signatory Bank Name : Bank A / C : Bank IFSC : ,Invoice
TRRN No : Challan Status : Challan Generated On : Establishment ID : Establishment Name : Challan Type : Total Members : Wage Month : Total Amount ( Rs ) : Account - 1 Amount ( Rs ) : Account - 2 Amount ( Rs ) : Account - 10 Amount ( Rs ) : Account - 21 Amount ( Rs ) : Account - 22 Amount ( Rs ) : Payment Confirmation Bank : CRN : Payment Date : Payment Confirmation Date : ,ChallanDep
Date of Issue Account Manager Amount in INR Item Description Item From Units Rate Amount ( INR ) Sub Totalo Project Totalc / 18 | 124 ) Project Total in ( INR ) Items Total Net value Central GST State GST Final Amount in INR ,Transdetails
"Checklist - Overheads Bill Process Region BILL NO COST CENTRE . . . . . PROFIT CENTRE Description Remarks Tick Purchase order number . . . . . . . N . ? . - Respective Bus / Enabling functions have submitted the original Bills . Approval on bill has been given by Cost Center Manager / Project Head Original bill has been received from the user along with necessary Approvals and Challan / Receipt , proof attached . Documents / Bill has been verified as per contract lagreement / PO Agreement Contract has been attached in Vendor Master for verification including copy PAN , Service TAX Freight i . e . Finished goods / Spares / Documents , verified as per contract / Agreement by the Store in chargel Admin . Also verified the weight measurements for finished goods ( as per SAP SDC ) / spares . TDS applicability has been checked with its percentage . centage . . . . . . . . . . . . . . . Security & House Keeping Expense - Bill verified as per contract / Agreement and also attached the copy of the previous month ESI , PF and P . Tax challan ( lf applicable ) Verified Byl Signature ( Store / Admin ) Verified By Functional Head Signature : varas Verified by RAO Signature : Name : Emp . Code * Mobile No : ",Checklist
Tax Invoice Invoice No . Dated GSTIN / UIN PAN / IT NO State Name Place of Supply Description of Goods HSN / SAC GST Rate Amount Authorised Signatory Amount Chargeable ( in words ) Company's Bank Details Bank Name Alc No . : Branch & IFS Code :Company ' s PAN ,Invoice
"BILL NO. Date : GSTIN / UIN - PAN / IT No . - PARTICULARS Salary RATE AMOUNT Allowances Maintenance , Gardener , House Keeping Total Total Salart + Allces + OT EPF Salary limit 15000/ ESI on Salary + Allces Total Service Charge TOTAL Rupees ( in words ) : Signature ",SGB
"TAX INVOICE Invoice No. Invoice Dt : Month Vendor Code Service PROJECT PM NAME PO No IDC Finance Contact Sub Total IGST SGST CGST CSTIN : Resource Name Location Period of performance Bu Rate BASE DAY NWD Amount (INR ) Grand Total Amount PAN No . TAN No . SAC Code Description of Service Bank Detail Funds may be transferred in favour Bank Name Bank Code , NEFT Code / RTGS Code Bank A / c No Swif Codet for Internatioual transfer ) Payment Due TDS Rate Authorized Signatory ",Invoice
WORK COMPLETION CERTIFICATE Vendor name IDC Technologies Sol (l) Pvt . Ltd . Purchase order no Project Name This is to certify that the aforesaid Vendor who resources provider with Customer has Select met requirements as per the Service levels agreed vide Master Services Agreements ( MSA ) / P . O . Please find below the SLA report of the vendor Brief description of Services Performed SLA parameters Status Manpower services 7 working days replacement of resources if required SLA Met { lf SLA not met } we propose to levy a penalty amount of 0 . 00 as per penalty term agreed as part of MSA / P . O and shall be deducted against the above invoice ( s ) at time of payment . Please Note : Attendance has approved from P . M . Email attached . ,Purchase
"From : Sent : To : Cc : Subject : Attachments : Prabhat Singh < Prabhat . Singh @ hcl . com > Vimlesh Pal ' ' idctimesheets RE : Attendance and summary sheet Attendance January.xlsx , Summary January . xlsx Regards From : Vimlesh Pal ( mailto : vimleshpal1627 @ gmail . com ) Sent : Monday , January 21 , 2019 9 : 38 AM To : prabhat . singh @ hd . com ; idctimesheets Subject : Attendance and summary sheet Dec - Jan",Email
Dear Sir Thanks & Regards EMP A - : : DISCLAIMER : : Please check and approve my attendance and summary sheet ,Email
